Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Close,Volume,Returns,excess_return
2003-10-01,6.08,2.71,1.97,-1.35,1.55,0.07,1050.7099609375,32298500000,0.05350426070312328,0.05280426070312328
2003-11-01,1.35,2.33,1.78,0.19,1.81,0.07,1058.199951171875,24463220000,0.007103216390662538,0.006403216390662538
2003-12-01,4.29,-2.49,1.6,0.56,0.94,0.08,1111.9200439453125,27839130000,0.04951898497110497,0.04871898497110497
2004-01-01,2.15,2.45,2.49,-3.66,3.38,0.07,1131.1300048828125,32820000000,0.017128847057714995,0.016428847057714996
2004-02-01,1.4,-0.93,0.9,2.17,-1.21,0.06,1144.93994140625,27985600000,0.01213504533610582,0.011535045336105821
2004-03-01,-1.32,2.1,0.27,1.56,-0.98,0.09,1126.2099609375,33597900000,-0.016494204178642544,-0.017394204178642545
2004-04-01,-1.83,-2.01,-3.1,3.45,-2.84,0.08,1107.300048828125,31611900000,-0.016933314713063943,-0.01773331471306394
2004-05-01,1.17,-0.38,-0.25,-1.18,0.03,0.06,1120.6800537109375,29326400000,0.012011028036095873,0.011411028036095873
2004-06-01,1.86,2.56,1.18,1.2,-0.39,0.08,1140.8399658203125,27529500000,0.017829111362111554,0.017029111362111556
2004-07-01,-4.06,-2.95,3.24,5.32,-1.66,0.1,1101.719970703125,29285600000,-0.03489223484716681,-0.03589223484716681
2004-08-01,0.08,-1.13,0.97,1.23,-1.47,0.11,1104.239990234375,26586800000,0.0022847383199045748,0.0011847383199045747
2004-09-01,1.6,3.27,0.0,-1.49,-1.88,0.11,1114.5799560546875,26829870000,0.009320306218269942,0.008220306218269942
2004-10-01,1.43,0.19,-0.22,-0.52,0.49,0.11,1130.199951171875,31511000000,0.013916952102817836,0.012816952102817835
2004-11-01,4.54,4.11,1.41,-0.58,-0.22,0.15,1173.8199462890625,30460280000,0.037868776906828334,0.03636877690682833
2004-12-01,3.43,-0.05,-0.22,-1.16,0.46,0.16,1211.9200439453125,31102500000,0.03194257321148287,0.030342573211482867
2005-01-01,-2.76,-1.17,2.06,2.74,-1.46,0.16,1181.27001953125,31498800000,-0.02561576769530585,-0.02721576769530585
2005-02-01,1.89,-0.31,1.54,1.43,-0.05,0.16,1203.5999755859375,29297410000,0.018726898056026692,0.017126898056026692
2005-03-01,-1.97,-1.42,2.04,0.47,1.29,0.21,1180.5899658203125,39014150000,-0.019302760921690573,-0.021402760921690574
2005-04-01,-2.61,-3.98,0.07,0.97,-0.94,0.21,1156.8499755859375,43424270000,-0.020313511500222595,-0.022413511500222597
2005-05-01,3.65,2.79,-0.64,-1.0,0.3,0.24,1191.5,39321990000,0.029512244489019596,0.027112244489019596
2005-06-01,0.57,3.28,2.83,0.96,-0.51,0.23,1191.3299560546875,40334040000,-0.00014272436450534957,-0.0024427243645053494
2005-07-01,3.92,2.81,-0.79,-1.19,-0.82,0.24,1234.1800537109375,37464670000,0.03533653227186871,0.03293653227186871
2005-08-01,-1.22,-0.89,1.32,-2.05,0.37,0.3,1220.3299560546875,42030090000,-0.011285547502899257,-0.014285547502899256
2005-09-01,0.49,-0.34,0.71,0.27,-0.6,0.29,1228.81005859375,44777510000,0.006924991121193389,0.004024991121193389
2005-10-01,-2.02,-1.45,0.42,-0.93,-1.3,0.27,1207.010009765625,49793790000,-0.017900033906343305,-0.020600033906343306
2005-11-01,3.61,0.84,-1.16,-0.76,-1.14,0.31,1249.47998046875,45102870000,0.0345812139547286,0.0314812139547286
2005-12-01,-0.25,-0.2,0.2,0.21,0.23,0.32,1248.2900390625,41756130000,-0.0009528030899304152,-0.004152803089930416
2006-01-01,3.04,5.75,1.08,-0.64,-0.46,0.35,1280.0799560546875,49211650000,0.025147895607579913,0.021647895607579914
2006-02-01,-0.3,-0.42,-0.34,-0.51,1.91,0.34,1280.6600341796875,42859940000,0.00045305508340120506,-0.002946944916598795
2006-03-01,1.46,3.38,0.6,0.06,-0.41,0.37,1294.8699951171875,50905040000,0.011034703509449961,0.007334703509449961
2006-04-01,0.73,-0.84,2.34,1.8,0.01,0.36,1310.6099853515625,43308430000,0.012082366269225648,0.008482366269225647
2006-05-01,-3.57,-2.85,2.41,1.15,1.46,0.43,1270.0899658203125,54312830000,-0.0314049293203158,-0.0357049293203158
2006-06-01,-0.35,-0.24,0.85,1.32,-0.07,0.4,1270.199951171875,54873260000,8.659275533511337e-05,-0.003913407244664887
2006-07-01,-0.78,-3.63,2.6,1.63,0.9,0.4,1276.6600341796875,46348220000,0.005072989405988439,0.001072989405988439
2006-08-01,2.03,0.44,-2.06,-1.86,2.09,0.42,1303.8199462890625,50485620000,0.021051056620195078,0.01685105662019508
2006-09-01,1.84,-1.46,0.08,0.82,0.6,0.41,1335.8499755859375,49001440000,0.024269399114309694,0.020169399114309695
2006-10-01,3.23,1.98,-0.31,-0.12,0.28,0.41,1377.93994140625,56793620000,0.031021812670560825,0.026921812670560825
2006-11-01,1.71,0.71,0.14,0.15,-0.8,0.42,1400.6300048828125,55343930000,0.016332551131230073,0.012132551131230074
2006-12-01,0.87,-0.81,2.73,-0.72,2.06,0.4,1418.300048828125,47578780000,0.012536866857911234,0.008536866857911234
2007-01-01,1.4,0.07,-0.68,0.25,0.38,0.44,1438.239990234375,56686200000,0.013961131307325757,0.009561131307325756
2007-02-01,-1.96,1.29,-0.14,-0.51,-0.71,0.38,1406.8199462890625,51844990000,-0.022088337053376834,-0.025888337053376835
2007-03-01,0.68,0.2,-0.97,0.64,-0.65,0.43,1420.8599853515625,67622250000,0.009930511784698804,0.005630511784698804
2007-04-01,3.49,-2.04,-1.45,1.15,1.03,0.44,1482.3699951171875,57032470000,0.04237984325323969,0.037979843253239685
2007-05-01,3.24,0.4,-0.65,1.58,-1.36,0.41,1530.6199951171875,64958050000,0.03203072385189615,0.02793072385189615
2007-06-01,-1.96,0.74,-1.05,0.53,0.08,0.4,1503.3499755859375,65322800000,-0.017976943869676052,-0.021976943869676052
2007-07-01,-3.73,-2.99,-3.71,0.2,-1.13,0.4,1455.27001953125,70337430000,-0.03250447118036484,-0.036504471180364845
2007-08-01,0.92,-0.37,-1.86,-1.21,-0.53,0.42,1473.989990234375,91381760000,0.012781539018930576,0.008581539018930575
2007-09-01,3.22,-2.44,-2.21,-0.52,-3.02,0.32,1526.75,57809700000,0.03516829026279035,0.03196829026279035
2007-10-01,1.8,-0.08,-2.98,-0.3,-0.09,0.32,1549.3800048828125,76022580000,0.014713560940170525,0.011513560940170526
2007-11-01,-4.83,-3.02,-0.94,1.89,-0.29,0.34,1481.1400146484375,86246950000,-0.04504278263090341,-0.04844278263090341
2007-12-01,-0.87,0.15,-0.55,0.87,-1.05,0.27,1468.3599853515625,64821670000,-0.008665949670829879,-0.011365949670829878
2008-01-01,-6.36,-0.65,3.97,2.14,2.14,0.21,1378.550048828125,98475340000,-0.0631138642063085,-0.06521386420630851
2008-02-01,-3.09,-0.66,-0.84,0.88,-0.93,0.13,1330.6300048828125,78536130000,-0.03537973959244805,-0.03667973959244805
2008-03-01,-0.93,0.56,0.3,0.79,0.5,0.17,1322.699951171875,93189170000,-0.0059774528264186924,-0.007677452826418693
2008-04-01,4.6,-1.2,-0.94,1.64,-2.47,0.18,1385.5899658203125,85978630000,0.04645095190758541,0.044650951907585404
2008-05-01,1.86,3.02,-1.43,0.93,-0.06,0.18,1400.3800048828125,80990480000,0.010617614807393634,0.008817614807393634
2008-06-01,-8.44,1.18,-2.71,4.96,-0.55,0.17,1280.0,96614040000,-0.08988355391782211,-0.09158355391782211
2008-07-01,-0.77,3.72,5.42,-1.37,1.08,0.15,1267.3800048828125,124980570000,-0.009908296633774068,-0.011408296633774068
2008-08-01,1.53,3.46,1.59,1.86,0.84,0.13,1282.8299560546875,86266010000,0.012116759351493936,0.010816759351493937
2008-09-01,-9.24,0.25,5.91,2.41,1.78,0.15,1166.3599853515625,140007320000,-0.09518076507694331,-0.09668076507694331
2008-10-01,-17.23,-3.34,-2.3,3.04,2.05,0.08,968.75,159823030000,-0.1856364738868827,-0.1864364738868827
2008-11-01,-7.86,-3.89,-6.31,4.53,2.75,0.03,896.239990234375,115660210000,-0.0777983573133054,-0.07809835731330539
2008-12-01,1.74,3.29,0.14,0.06,-1.49,0.0,903.25,112884470000,0.0077911466734982004,0.0077911466734982004
2009-01-01,-8.12,-2.14,-11.29,0.18,-1.17,0.0,825.8800048828125,112090640000,-0.08954987959881684,-0.08954987959881684
2009-02-01,-10.1,-1.32,-6.95,1.19,-1.02,0.01,735.0900268554688,124492210000,-0.11645651319919006,-0.11655651319919007
2009-03-01,8.95,0.67,3.47,-2.52,-2.25,0.02,797.8699951171875,161843640000,0.08195269356125574,0.08175269356125574
2009-04-01,10.18,7.13,5.36,1.31,0.13,0.01,872.8099975585938,138855320000,0.08977221824359974,0.08967221824359974
2009-05-01,5.21,-2.32,0.28,-0.78,-2.17,0.0,919.1400146484375,131614940000,0.051720577155174065,0.051720577155174065
2009-06-01,0.43,2.29,-2.73,-1.41,-0.33,0.01,919.3200073242188,112653150000,0.0001958080939538299,9.58080939538299e-05
2009-07-01,7.72,2.39,4.83,-0.46,3.14,0.01,987.47998046875,106635790000,0.07152194934301422,0.07142194934301421
2009-08-01,3.33,-0.09,7.63,-3.02,3.34,0.01,1020.6199951171875,116059270000,0.03300933634285532,0.03290933634285532
2009-09-01,4.08,2.73,1.05,1.31,0.36,0.01,1057.0799560546875,112295490000,0.03510006736774632,0.035000067367746315
2009-10-01,-2.59,-4.93,-4.21,4.17,-1.51,0.0,1036.18994140625,113410990000,-0.01995988019711955,-0.01995988019711955
2009-11-01,5.56,-2.68,-0.34,1.0,0.12,0.0,1095.6300048828125,84981530000,0.055779076586737225,0.055779076586737225
2009-12-01,2.75,6.24,-0.17,1.02,-0.09,0.01,1115.0999755859375,89515330000,0.017614520350300044,0.017514520350300045
2010-01-01,-3.36,0.34,0.43,-1.27,0.46,0.0,1073.8699951171875,90947580000,-0.0376751237121947,-0.0376751237121947
2010-02-01,3.4,1.51,3.23,-0.27,1.43,0.0,1104.489990234375,84561340000,0.028114739741840464,0.028114739741840464
2010-03-01,6.31,1.85,2.21,-0.65,1.69,0.01,1169.4300537109375,103683550000,0.0571328154163926,0.057032815416392595
2010-04-01,2.0,4.98,2.89,0.69,1.72,0.01,1186.68994140625,116741910000,0.014651373006918428,0.014551373006918429
2010-05-01,-7.89,0.04,-2.44,1.3,-0.21,0.01,1089.4100341796875,127662780000,-0.08553157288349063,-0.08563157288349063
2010-06-01,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,1030.7099609375,110106750000,-0.055388449405503734,-0.05548844940550374
2010-07-01,6.93,0.12,-0.31,0.24,2.01,0.01,1101.5999755859375,94778110000,0.066515799010857,0.066415799010857
2010-08-01,-4.77,-3.15,-1.9,0.53,-1.59,0.01,1049.3299560546875,85738250000,-0.048611822887418846,-0.04871182288741885
2010-09-01,9.54,3.75,-3.16,-0.21,0.38,0.01,1141.199951171875,79589450000,0.08392847418803404,0.08382847418803403
2010-10-01,3.88,0.8,-2.43,1.19,-0.26,0.01,1183.260009765625,89536270000,0.03619305175049079,0.03609305175049079
2010-11-01,0.6,3.67,-0.96,0.45,1.59,0.01,1180.550048828125,87151070000,-0.0022928763797244473,-0.002392876379724447
2010-12-01,6.82,1.03,3.7,-3.44,3.16,0.01,1257.6400146484375,80984530000,0.06325648750899807,0.06315648750899806
2011-01-01,1.99,-2.43,0.83,-0.76,0.83,0.01,1286.1199951171875,92164940000,0.022392969812412192,0.022292969812412192
2011-02-01,3.49,1.65,1.27,-1.94,0.88,0.01,1327.219970703125,59223660000,0.03145657676282469,0.03135657676282469
2011-03-01,0.46,2.62,-1.83,1.76,-0.03,0.01,1325.8299560546875,89507640000,-0.0010478617545838823,-0.0011478617545838824
2011-04-01,2.9,-0.55,-2.43,1.01,-0.8,0.0,1363.6099853515625,77364810000,0.028096938770245248,0.028096938770245248
2011-05-01,-1.27,-0.63,-2.12,2.08,-1.59,0.0,1345.199951171875,81708980000,-0.013592919455284002,-0.013592919455284002
2011-06-01,-1.75,0.16,-0.42,2.49,-1.53,0.0,1320.6400146484375,86122730000,-0.018426185911932576,-0.018426185911932576
2011-07-01,-2.35,-1.2,-0.9,2.68,-1.81,0.0,1292.280029296875,81102170000,-0.02170835585666382,-0.02170835585666382
2011-08-01,-5.99,-3.2,-2.36,3.3,-0.38,0.01,1218.8900146484375,108419170000,-0.05846750227195686,-0.05856750227195686
2011-09-01,-7.59,-3.66,-1.72,2.04,0.24,0.0,1131.4200439453125,102786820000,-0.0744671007197857,-0.0744671007197857
2011-10-01,11.35,3.46,0.1,-2.16,-0.86,0.0,1253.300048828125,98063670000,0.10230659176938868,0.10230659176938868
2011-11-01,-0.28,-0.28,-0.46,1.86,1.49,0.0,1246.9599609375,84275050000,-0.005071553722512535,-0.005071553722512535
2011-12-01,0.74,-0.33,1.63,0.98,2.52,0.0,1257.5999755859375,74742430000,0.008496565407114517,0.008496565407114517
2012-01-01,5.05,2.06,-0.97,-2.01,-1.43,0.0,1312.4100341796875,79567560000,0.042660044467807356,0.042660044467807356
2012-02-01,4.42,-1.71,0.43,-0.48,-0.01,0.0,1365.6800537109375,78385710000,0.03978734467204456,0.03978734467204456
2012-03-01,3.11,-0.47,1.14,-0.54,0.74,0.0,1408.469970703125,83899660000,0.03085147563299614,0.03085147563299614
2012-04-01,-0.85,-0.55,-0.78,1.3,0.65,0.0,1397.9100341796875,74761710000,-0.007525699544988767,-0.007525699544988767
2012-05-01,-6.19,-0.12,-1.07,2.08,2.31,0.01,1310.3299560546875,86920490000,-0.06469930815862472,-0.06479930815862472
2012-06-01,3.89,0.84,0.62,-1.09,0.46,0.0,1362.1600341796875,81582440000,0.03879271987369995,0.03879271987369995
2012-07-01,0.79,-2.78,-0.02,1.1,0.05,0.0,1379.3199462890625,73103810000,0.01251888494028272,0.01251888494028272
2012-08-01,2.55,0.44,1.3,-1.33,-0.84,0.01,1406.5799560546875,70283810000,0.01957060970187109,0.019470609701871092
2012-09-01,2.73,0.61,1.6,-1.49,1.55,0.01,1440.6700439453125,69784280000,0.023947118796254597,0.023847118796254597
2012-10-01,-1.76,-0.89,3.59,-1.34,2.5,0.01,1412.1600341796875,71752320000,-0.019987842358050206,-0.020087842358050206
